short_descriptions,priority
software fmo unable to install windows,MEDIUM
concur view on ipad does not show banking info change option,MEDIUM
amer pfizer com cpqsmselftesterror intel,HIGH
lock out of my computer,MEDIUM
adobe dc enterprise login activation on replacement laptop,MEDIUM
need json for the provided opportunities for verifying the test scenarios,LOW
nw out of sync,LOW
unable to access content in https marvelapp com screen,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
mailbox client issue,LOW
it corner concierge,LOW
collaborator review always stuck when add comment or defect,LOW
need support to close test ticket on salesforce,LOW
synchronize sapim file to wf tool,LOW
hardware laptop will not power up boot,LOW
hi in ms team can we chat and call with external organisations using ms teams as well,LOW
microsoft active directory account enable,MEDIUM
software fmo pc slow performance,LOW
unable to access software center from my system,LOW
concur profile issue,LOW
fnokia hardware laptop wireless adapter driver failure,LOW
create territory codes,MEDIUM
user need to be given credentials for domain,LOW
ch survey upload to q and finally to p,MEDIUM
instance not able connect,LOW
it corner concierge,LOW
user has a laptop that will not turn on,MEDIUM
bitlocker unable to set new pin for bitlocker,LOW
courtney portik cw otsuka us com errors opening files from sharepoint,MEDIUM
unable to pick or assign case,LOW
cannot download huge file uploaded on nct,LOW
spc quality monitoring,MEDIUM
surround and price tool are extremely slow,CRITICAL
request to unsuspend the cyberark user account,LOW
telephone conferencing for office,MEDIUM
hvd l program can t start dll missing on outlook,MEDIUM
enlarging access to bw reports,CRITICAL
ch no authorizations anymore to edit template in bex web application designer,MEDIUM
temporary maintenance of table zfi dt txc it,MEDIUM
password reset request,MEDIUM
pfizer com process the syslogd process has stopped escalate asap solaris zone host,HIGH
hardware issue with pc screen,LOW
user jitendra ramakalpatil vodafone com unable to access cares,LOW
networker is down on dp team has no access please restart,LOW
software center application list is empty,LOW
generate not completing in site test,LOW
skype for business not logging in,MEDIUM
user carlos castillo verizon com getting sso error – you cannot associate a contact with non leg,LOW
assign user cosmin multescu to group g snow bss request prioritization,MEDIUM
running out of ceva licenses,LOW
unable to access ocpi intranet page,MEDIUM
please delete the project https ext net nokia com admin projects netact fit fp merge,LOW
request to remove sas grid process,MEDIUM
unable to launch moogsoft,MEDIUM
two mss return from leave forms created for the same employee badruddin,LOW
detailed information regarding atem request,LOW
nsn intra network account,MEDIUM
question regarding veeva screen,MEDIUM
replacement of surface charger,HIGH
it corner concierge,LOW
fw network drives issue,MEDIUM
my computer workstation,LOW
user cannot update data in bpc,CRITICAL
presence between outlook and teams,MEDIUM
login issues for elearn,MEDIUM
merlin password reset,LOW
p nun nokia multiple infections single host clean failed,MEDIUM
it corner concierge,LOW
it corner concierge,LOW
need access to qa environment ndpd playground,LOW
jabber other jabber cannot currently connect to servers or unable to connect,LOW
pointsec password reset request,LOW
request for access to ee jira application,LOW
support portal nols application issues,LOW
mc webex mobile app unable to open item on calendar,LOW
unable to access nokia sharepoint site https nokia sharepoint com sites gdc npo tim brazil,HIGH
gr access to shared mailbox,CRITICAL
hardware laptop not turning on,LOW
data transfer issue,LOW
server needs to be rebooted application down,LOW
software upgrade issue,MEDIUM
hardware my laptop battery broken cannot be charging,LOW
user doreen casim t mobile com unable to access the team service,LOW
memory issue while running gitlab pipeline for territory ecosystem on production enviroment,MEDIUM
fnokia support portal user jkack telebec com getting error sso – errordetails null attempt to de reference a n,LOW
mfa need asistance to reconfigure authenticator app after phone changed,LOW
pfizer com logmonitor flasharchive failure escalate and investigate issues asap unix log pfizer flasharchive pfeunix flasharchive errors unix,HIGH
get qtc network ids added to concur,LOW
update ci rates,MEDIUM
outgoing email from jira hosted on aws failing with connection refused to mailrelay int nokia com,MEDIUM
tr vpn problem accessing e mail when connected to customer vpn,LOW
re issue in receiving notifications,MEDIUM
in webex user account has been deactivated,LOW
hardware touch pad not working,LOW
citrix storefront issue,LOW
blue screen stop code dpc watchdog violation,MEDIUM
create sales districts,MEDIUM
grant access to office license,MEDIUM
eai to bp flow,HIGH
germany no pdf generated in for spo,LOW
pfizer com process the vxrelocd process has stopped escalate asap solaris zone,HIGH
p nun nokia propagation possible rdp exploit bluekeep,MEDIUM
not possible to save data to,HIGH
it corner concierge,LOW
jabber phone services unable to place phone call,LOW
can t log in to elearn,MEDIUM
large packet loss between nokia office locations,HIGH
it corner concierge,LOW
jira access issue mudbansa,LOW
inc other security unconfirmed incident all domain users having rdp access to a series of servers,MEDIUM
magenta cartridge rck,MEDIUM
p nun nokia exploit multiple exploit types against single destination,MEDIUM
functional mailbox users not able to send email to mailbox reporting rso nokia com after mailbox extension on expiry,LOW
unlock my account,MEDIUM
vpn certificate validation error,LOW
bitlocker pin creation,MEDIUM
ipaas qa is not reachable,LOW
p nun nokia security risk found on host,MEDIUM
otm int and qa invalid location populating in or destination location field,LOW
nikunj pastagia otsuka us com read and write access to sharepoint location,MEDIUM
it corner concierge,LOW
anyconnect package could not be located,LOW
can t join teams meeting,MEDIUM
virtual machine unable to install,LOW
hosted virtual desktop cannot launch or start hvd,LOW
hu cvc creation request,CRITICAL
it portal unable to file pc termination obsolete employee,LOW
po needs to have the ship to address modified from nl to fi,LOW
unable to connect to shared drives,MEDIUM
p nun nokia soar security risk found on host,MEDIUM
unable to access outlook,LOW
office activation issue unbale to activate microsoft office,LOW
unable to access virtual pc,LOW
your service request has been completed with closure code successful,LOW
p nun nokia windows events are collected from the symantec channel,MEDIUM
planned order in not move to ecc due to calendar,LOW
remove pc from service,LOW
enable lk flag,LOW
internal external user categorization error elvira rivero,LOW
msps issue with segmented gantt report,MEDIUM
waas upgrade issue,LOW
at no openscape licence,CRITICAL
jabber softphone services not working on pc anymore,LOW
the de alcatel lucent com server is unavailable it is not responding to ping,HIGH
sap max connection excided,HIGH
hu idm role access to nóra,CRITICAL
sfdc production environment security violation,MEDIUM
shared mailbox businessinformationrussia cchellenic com,MEDIUM
veeva wont sync account locked in ars,MEDIUM
vpn remote access,MEDIUM
sharepoint link request,LOW
error sati access,LOW
gdc noida critical incident zambia unable to login,HIGH
clicks access issue,HIGH
update business approvers list,CRITICAL
jabber sso cannot login to mobile app,LOW
nokiameetings my current webex site is not enabled for use with microsoft office,LOW
unable able to login in to remedy,LOW
patching issue partially result for,LOW
hvd unable to open,MEDIUM
gliffy plugin license expiration,LOW
unable to log in the skype,MEDIUM
december am est,LOW
bg update placement and removal cde surveys,MEDIUM
greece sales rerouting go live date order block customer,MEDIUM
p nun nokia authentication repeat non windows and non wireless login failures preceded by p nun nokia authentication repeat windows login fa,MEDIUM
approval dimension table update,MEDIUM
change the owner of the mail group,MEDIUM
fi adobe account deactivated,LOW
telephone conferencing for office,MEDIUM
re tw cec building hp laserjet color mfp printer cartridge compartment abnormal powder overflow,LOW
jabber other jabber settings problem,LOW
pfizer com logmonitor filesystem or device errors escalate and investigate issues asap unix syslog pfeunix full filesystem errors linux,HIGH
process chain failures bwp group,LOW
microsoft teams is not detecting the camera,LOW
mass changes for ru users arc team russia check,MEDIUM
it corner concierge,LOW
add vkoa combination,CRITICAL
it corner concierge,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
sync error due to tot,MEDIUM
concur login issue,LOW
issue unable to uninstall the software in laptop,MEDIUM
cancel ssf request,MEDIUM
project and portfolio management,MEDIUM
software center unable to download stuck in complete for days already,LOW
my computer workstation bad native installing software,LOW
digital people management,MEDIUM
it corner concierge,LOW
wlan connection issue,LOW
otsuka onboarding geoff smith details starting next monday may kind attention it and michael loschiavo,MEDIUM
jabber other cannot open page try again later,LOW
people who received mail sent to list app group won t see other people in to and cc,LOW
phone number change authentificator,MEDIUM
in need ntp server ip address,LOW
disk file system dev mapper rootvg root percent full,MEDIUM
subnet is looing packets,LOW
e learn error message,MEDIUM
functional mailbox did not receive any new update from hr romania,LOW
it user care inc ticket creation,LOW
vpn remote access,LOW
problem with patching ci failed for unknown reason investigation required rfc did not go past start,MEDIUM
certificate and and otp to access pdm,LOW
bitlocker unable to assign new pin,LOW
cas not able to assign user add to queue error,LOW
ee jira log in issue,LOW
search engine in owa is not working,LOW
an issue on hfm database,MEDIUM
p nun nokia multiple failed login attempts with existing privileged account,HIGH
